Rank,Company Name,3-Year % Growth,Revenue,Industry,# of Employees,City,State
95, Avondale Strategic Partners, 2706%, $3.4 million, Financial Services, 10, Chicago, IL
96, CarGurus, 2689%, $3.3 million, Consumer Products & Services, 10, Cambridge, MA
97, PureFormulas.com, 2679%, $9.9 million, Health, 20, Medley, FL
98, Cadillac Stone Works, 2677%, $4.2 million, Construction, 12, North Las Vegas, NV
99, Smashburger, 2673%, $39.4 million, Food & Beverage, 780, Denver, CO
100, Check-6, 2661%, $14.8 million, Energy, 65, Jenks, OK
101, Product Movers, 2659%, $7.7 million, Manufacturing, 44, Holland, OH
102, Signature Foods, 2648%, $34.9 million, Food & Beverage, 98, Pendergrass, GA
103, EndoChoice, 2646%, $9.4 million, Health, 120, Alpharetta, GA
104, FortuneBuilders.com, 2629%, $14.2 million, Education, 25, San Diego, CA
105, Yext, 2608%, $23.4 million, Advertising & Marketing, 85, New York, NY
106, The Portal Group, 2580%, $10.7 million, IT Services, 59, Long Beach, CA
107, MicroTech, 2579%, $331.1 million, Government Services, 415, Vienna, VA
108, Signal, 2506%, $2.7 million, Software, 14, Chicago, IL
109, Provideo Management, 2465%, $5.7 million, Government Services, 4, Sterling, VA
110, UniqueSquared.com, 2461%, $24.3 million, Retail, 32, Atlanta, GA
111, Aurum Advisors, 2425%, $17.6 million, Financial Services, 10, Los Angeles, CA
112, Galaxy Marketing Solutions, 2414%, $2.6 million, Advertising & Marketing, 4, Clearwater, FL
113, Intergi Entertainment, 2383%, $6.3 million, Advertising & Marketing, 18, Deerfield Beach, FL
114, MyBuys, 2366%, $9.4 million, Software, 87, San Matel, CA
115, VIP International, 2364%, $3.9 million, Consumer Products & Services, 12, Rancho Cordova, CA
116, RAMP, 2351%, $3.3 million, Advertising & Marketing, 35, Woburn, MA
117, Cellufun, 2348%, $6.2 million, Media, 19, New York, NY
118, Likeable Media, 2333%, $2.6 million, Advertising & Marketing, 28, New York, NY
119, Cetan Corp, 2275%, $7.2 million, IT Services, 14, Chesapeake, VA
120, TFSupplements, 2231%, $10.2 million, Health, 9, Dickinson, TX
121, ePropertySites.com, 2219%, $3.3 million, Business Products & Services, 14, Aliso Viejo, CA
122, Vitals, 2213%, $2.9 million, Health, 33, Lyndhurst, NJ
123, Petplan, 2207%, $18.7 million, Insurance, 40, Philadelphia, PA
124, SafeRacks, 2200%, $2.8 million, Consumer Products & Services, 6, Rancho Santa Margarita, CA
125, TriAd Media Solutions, 2194%, $11.8 million, Advertising & Marketing, 12, Hoboken, NJ
126, InGenesis, 2177%, $52 million, Health, 220, San Antonio, TX
127, Soft Tech Consulting, 2138%, $7.5 million, IT Services, 85, Chantilly, VA
128, Arcadia Solutions, 2117%, $18.4 million, Health, 112, Burlington, MA
129, Property Masters, 2114%, $18.7 million, Construction, 39, Marietta, GA
130, YMarketing, 2111%, $18.6 million, Advertising & Marketing, 27, Costa Mesa, CA
131, Build Group, 2104%, $18.8 million, Construction, 110, San Francisco, CA
132, Renters Warehouse, 2085%, $3.3 million, Real Estate, 39, Golden Valley, MN
134, Software Advice, 2077%, $3.2 million, Business Products & Services, 18, Austin, TX
135, Savings.com, 2077%, $19.9 million, Retail, 68, Los Angeles, CA
136, MFS Supply, 2060%, $17.8 million, Security, 27, Solon, OH
137, Yodle, 2043%, $63.4 million, Advertising & Marketing, 437, New York, NY
138, The Trademark Company, 2034%, $3.2 million, Business Products & Services, 15, Vienna, VA
139, Evoke Research and Consulting, 2029%, $5.2 million, Government Services, 34, Arlington, VA
140, Stonegate Mortgage, 2011%, $15.4 million, Financial Services, 137, INDIANAPOLIS, IN
141, Glevum Associates, 2008%, $11.3 million, Government Services, 21, Boylston, MA
142, MyDailyMoment.com, 1952%, $3.7 million, Media, 15, New York, NY
143, Boston Technologies, 1944%, $5.4 million, Financial Services, 61, Boston, MA
144, SurveyGizmo, 1940%, $3.3 million, Software, 25, Boulder, CO
145, Green Earth, 1933%, $2.3 million, Business Products & Services, 13, Iselin, NJ
146, BuyMyTronics.com, 1900%, $2 million, Consumer Products & Services, 9, Denver, CO
147, MindPetal, 1897%, $4.1 million, Government Services, 7, Rockville, MD
148, DisputeSuite.com, 1895%, $2.1 million, Software, 12, New Port Richey, FL
149, LeaderOne Financial, 1882%, $25.6 million, Financial Services, 247, Overland Park, KS
150, Optimal Strategix Group, 1878%, $6.5 million, Advertising & Marketing, 27, Newtown, PA
151, Free For All, 1871%, $2.5 million, Health, 17, Mt. Laurel, NJ
152, Warehouse Solutions, 1870%, $2.5 million, Business Products & Services, 22, El Cajon, CA
153, First Impression Interactive, 1856%, $10 million, Advertising & Marketing, 4, Chicago, IL
154, Enstoa, 1848%, $3.5 million, IT Services, 23, New York, NY
155, Mobifusion, 1847%, $2.9 million, Software, 51, Sunnyvale, CA
156, Polu Kai Services, 1847%, $32.6 million, Government Services, 81, Falls Church, VA
157, The Iron Door Company, 1839%, $2 million, Consumer Products & Services, 7, Alabaster, AL
158, Triad Web Design, 1836%, $3 million, IT Services, 54, Raleigh, NC
159, DocuLynx, 1831%, $10.5 million, Software, 144, Omaha, NE
160, Healthcare Regional Marketing [HRM], 1830%, $17.4 million, Advertising & Marketing, 41, Cincinnati, OH
161, Landmark Retail, 1825%, $2.7 million, Construction, 8, Little Falls, NJ
162, SBG Technology Solutions, 1825%, $21.9 million, Government Services, 44, Alexandria, VA
163, Teknicks, 1797%, $2 million, Advertising & Marketing, 52, Bay Head, NJ
164, Bridger Photonics, 1796%, $2.1 million, Engineering, 15, Bozeman, MT
165, Zenoss, 1789%, $8.4 million, Software, 62, Austin, TX
166, Alpha Synopsys, 1770%, $2.1 million, IT Services, 22, Rochester Hills, MI
167, Cloud 8 Sixteen, 1758%, $4 million, Advertising & Marketing, 60, Austin, TX
168, 5th Finger, 1752%, $2.6 million, Advertising & Marketing, 18, San Francisco, CA
169, Confirmation.com, 1750%, $6.8 million, Financial Services, 23, Brentwood, TN
170, Calvin Group, 1750%, $2.2 million, IT Services, 11, Los Angeles, CA
171, Simpluris, 1749%, $3.9 million, Business Products & Services, 36, Costa Mesa, CA
172, PalmerHouse Properties, 1726%, $2.3 million, Real Estate, 535, Atlanta, GA
173, Providigm, 1717%, $5.7 million, Health, 39, Denver, CO
174, BoomTown, 1712%, $2.2 million, Software, 19, Charleston, SC
175, SPIbelt, 1710%, $3.1 million, Consumer Products & Services, 12, Austin, TX
176, Varrow, 1708%, $31.5 million, IT Services, 45, Greensboro, NC
177, epcSolutions, 1699%, $18.2 million, Software, 43, Great Falls, VA
178, Dental Burs USA, 1694%, $2.1 million, Health, 5, Chicago, IL
179, Blue Global, 1693%, $10.3 million, Advertising & Marketing, 13, Scottsdale, AZ
180, Carbonite, 1690%, $38.6 million, IT Services, 163, Boston, MA
181, Standard Solar, 1686%, $23 million, Energy, 76, Rockville, MD
182, Magic Hat Consulting, 1669%, $3.4 million, IT Services, 27, Fort Washington, PA
183, That! Company, 1658%, $5.9 million, Advertising & Marketing, 25, Leesburg, FL
184, Urban Office Products, 1654%, $3.8 million, Business Products & Services, 15, New York, NY
185, Consolidated Asset Recovery Systems, 1633%, $7.6 million, Financial Services, 19, Raleigh, NC
186, Med Exec International, 1627%, $2.4 million, Health, 17, Glendale, CA
187, Advanced BioHealing, 1604%, $146.7 million, Health, 334, Westport, CT
188, Health Plan One, 1602%, $6.5 million, Insurance, 45, Shelton, CT
189, City Advertising, 1595%, $2.2 million, Advertising & Marketing, 16, Delray beach, FL
190, Medigap360, 1579%, $2 million, Insurance, 43, Austin, TX
191, Tradavo, 1578%, $9.8 million, Food & Beverage, 12, Lakewood, CO
192, PCG Digital Marketing, 1569%, $2.2 million, Advertising & Marketing, 40, Eatontown, NJ
193, LinkVisum Consulting Group, 1566%, $10 million, Government Services, 11, McLean, VA
194, Innotion Enterprises, 1564%, $14.4 million, Real Estate, 46, Arlington, VA
195, Star2Star Communications, 1556%, $10.8 million, Telecommunications, 78, Sarasota, FL
196, Clean Currents, 1548%, $2.4 million, Energy, 24, Rockville, MD
197, The Rehancement Group, 1547%, $5.4 million, Government Services, 25, Reston, VA
198, B3 Solutions, 1539%, $13.7 million, Government Services, 97, Jacksonville, FL
199, Williams Strength, 1536%, $2.5 million, Consumer Products & Services, 27, West Columbia, SC
200, SNS LOGISTICS, 1535%, $2.5 million, Logistics & Transportation, 33, Jacksonville, FL
201, Vega Consulting, 1535%, $12.5 million, Business Products & Services, 58, Bellevue, WA
202, Jama Software, 1534%, $3 million, Software, 25, Portland, OR
203, HumanTouch, 1533%, $24.2 million, Government Services, 105, McLean, VA
204, Rimini Street, 1531%, $25.3 million, IT Services, 180, Las V egas, NV
205, Urban Lending Solutions, 1529%, $127.3 million, Real Estate, 700, Pittsburgh, PA
206, CFN Services, 1518%, $11.1 million, Telecommunications, 26, Herndon, VA
207, DiscoverOrg, 1516%, $2.8 million, Business Products & Services, 40, Vancouver, WA
208, Gravitas Ventures, 1500%, $5.5 million, Media, 6, El Segundo, CA
209, Arvixe, 1487%, $2.7 million, IT Services, 30, Calabasas, CA
210, Easy Solutions, 1480%, $2.8 million, Security, 22, Sunrise, FL
211, Again Faster Equipment, 1474%, $2.9 million, Consumer Products & Services, 6, Boston, MA
212, CallingMart, 1473%, $9.5 million, Telecommunications, 10, Doral, FL
213, Global Strategies, 1470%, $4.9 million, Security, 15, Las Vegas, NV
214, Aromatic Fusion, 1455%, $5.3 million, Manufacturing, 5, Bensalem, PA
215, Integrity First Financial Group, 1446%, $5.8 million, Financial Services, 30, San Diego, CA
216, Spark Revenue, 1442%, $7.1 million, Advertising & Marketing, 2, Chevy Chase, MD
217, Ader Investment Management, 1442%, $3.2 million, Financial Services, 10, New York, NY
218, Ciphent, 1442%, $18.4 million, Security, 110, Hanover, MD
219, ChaCha, 1441%, $6.3 million, Media, 71, Carmel, IN
220, Luke & Associates, 1437%, $85.8 million, Government Services, 940, Merritt Island, FL
221, Coyote Logistics, 1437%, $327.9 million, Logistics & Transportation, 512, Chicago, IL
222, US Appraisal Group, 1432%, $3 million, Real Estate, 10, Chicago, IL
223, Znode, 1430%, $2.5 million, Software, 15, Columbus, OH
224, ShopJimmy.com, 1426%, $5.6 million, Business Products & Services, 53, Bloomington, MN
225, OptionEase, 1422%, $2.6 million, Software, 39, Mission Viejo, CA
226, Three Pillar Global, 1415%, $12.6 million, Business Products & Services, 163, Fairfax, VA
227, Deluxe Marketing, 1410%, $9.1 million, Advertising & Marketing, 12, Las Vegas, NV
228, DotNetNuke, 1406%, $6.9 million, Software, 44, San Mateo, CA
229, Aztec Awards, 1400%, $2.3 million, Business Products & Services, 15, San Diego, CA
230, BrightBox, 1399%, $2.2 million, Advertising & Marketing, 27, Houston, TX
231, Physicians' Pharmaceutical, 1394%, $10.5 million, Health, 9, Knoxville, TN
232, TeleQuality, 1377%, $3.2 million, Telecommunications, 12, San Antonio, TX
233, Satory Global, 1373%, $4.6 million, IT Services, 18, Washington, DC
234, LuxMobile Group, 1358%, $4.1 million, Consumer Products & Services, 20, Rochester, NY
235, Mission Essential Personnel, 1356%, $628.6 million, Government Services, 7350, Columbus, OH
236, 3tailer, 1346%, $3.3 million, Retail, 15, Charlotte, NC
237, Merchant Services Direct, 1336%, $2.4 million, Financial Services, 45, Spokane Valley, WA
238, Decision Distribution, 1335%, $34.5 million, Construction, 6, Yardley, PA
239, Capitol Media Solutions, 1332%, $3.8 million, Advertising & Marketing, 16, Atlanta, GA
240, Qnexis, 1330%, $4.8 million, Government Services, 10, Reston, VA
241, ShareFile, 1322%, $7.8 million, Software, 45, Raleigh, NC
242, VeeV Acai Spirit, 1316%, $2.1 million, Food & Beverage, 30, Los Angeles, CA
243, Insignia Technology Services, 1315%, $11.5 million, Government Services, 87, Newport News, VA
244, Infojini, 1311%, $2 million, IT Services, 32, Columbia, MD
245, Link Solutions, 1309%, $4.7 million, Government Services, 75, Reston, VA
246, GrubHub.com, 1308%, $8.3 million, Food & Beverage, 95, Chicago, IL
247, New West Technologies, 1297%, $48.5 million, Government Services, 175, Greenwood Village, CO
248, QSS International, 1292%, $3.6 million, Government Services, 7, Fairfax, VA
249, Legacy Converting, 1289%, $5.1 million, Manufacturing, 28, Cranbury, NJ
250, Vendormate, 1278%, $17.5 million, Software, 106, Atlanta, GA
251, Phenomenon, 1274%, $15 million, Advertising & Marketing, 32, Los Angeles, CA
252, Thrillist Media Group, 1266%, $14.7 million, Media, 73, New York, NY
253, Axom Technologies, 1258%, $10.6 million, Government Services, 73, Annapolis Junction, MD
254, WiredTree, 1257%, $4.3 million, IT Services, 21, Chicago, IL
255, Stellar Development, 1255%, $4.6 million, Construction, 7, Lakewood Ranch, FL
256, Ludus Sports, 1253%, $2.5 million, Travel, 8, San Diego, CA
257, Real Property Management, 1252%, $11.4 million, Real Estate, 83, Layton, UT
258, Bulk Reef Supply, 1248%, $3.9 million, Retail, 16, Golden Valley, MN
259, Crescent Moon Holdings, 1243%, $5.3 million, Retail, 24, Myrtle Beach, SC
260, ServiceNow, 1240%, $62.2 million, Software, 250, San Diego, CA
261, VetDepot.com, 1235%, $4.9 million, Retail, 9, Encinitas, CA
262, Revolution Foods, 1219%, $22.8 million, Food & Beverage, 742, Oakland, CA
263, Alligator Performance, 1213%, $5.3 million, Retail, 14, Coeur d'Alene, ID
264, Balihoo, 1211%, $7.7 million, Software, 42, Boise, ID
265, FedStore, 1210%, $80.2 million, Government Services, 29, Rockville, MD
266, Alliant Healthcare Products, 1199%, $7.8 million, Health, 32, Richland, MI
267, AVIAN Engineering, 1197%, $6.8 million, Government Services, 47, Lexington Park, MD
268, Nashville Ticket, 1195%, $8.1 million, Consumer Products & Services, 10, Indian Trail, NC
269, Daytner Construction, 1194%, $17.7 million, Construction, 10, Mount Airy, MD
270, New South Equipment Mats, 1192%, $13 million, Construction, 24, Madison, MS
271, Frayman Group, 1189%, $6 million, Software, 75, Brooklyn, NY
272, Ohana Companies, 1187%, $8.4 million, Business Products & Services, 28, Wilmington, DE
273, Simpak International, 1186%, $2.6 million, Manufacturing, 25, Louisville, KY
274, Wealthpire, 1185%, $3.9 million, Media, 5, Santa Monica, CA
275, North Star Group, 1184%, $7.4 million, Government Services, 36, Washington, DC
276, Townsend, 1180%, $2.3 million, Health, 32, Lafayette, LA
277, SoftLayer Technologies, 1178%, $278.8 million, IT Services, 550, Dallas, TX
278, Livin' Lite Recreational Vehicles, 1173%, $5.3 million, Consumer Products & Services, 60, Wakarusa, IN
279, Clinipace Worldwide, 1170%, $12.4 million, Health, 36, Morrisville, NC
280, Nextaff, 1167%, $72.1 million, Human Resources, 12, Overland Park, KS
281, The Fresh Diet, 1156%, $17.7 million, Food & Beverage, 200, Surfside, FL
282, Petra Roofing, 1150%, $3.6 million, Construction, 6, Oklahoma City, OK
283, Maestro Technologies, 1149%, $3.9 million, IT Services, 59, Princeton, NJ
284, Campus Habitat, 1149%, $16.5 million, Real Estate, 162, New York, NY
285, Thomas L. Cardella & Associates, 1148%, $21 million, Business Products & Services, 880, Cedar Rapids, IA
286, Realgy, 1147%, $14.9 million, Energy, 9, West Hartford, CT
287, Clearspring, 1143%, $6.3 million, Advertising & Marketing, 47, McLean, VA
288, Intuitive Web Solutions, 1142%, $2.4 million, Software, 27, Springfield, MO
289, Renavatio Healthcare Communications, 1137%, $4.1 million, Advertising & Marketing, 16, Newtown, PA
290, OkCupid.com, 1129%, $4.7 million, Media, 18, New York, NY
291, ASE Direct, 1124%, $4 million, Government Services, 13, Franklin, TN
292, Asentra, 1116%, $3.1 million, Advertising & Marketing, 18, Honolulu, HI
293, Precision Therapeutics, 1115%, $28.1 million, Health, 269, Pittsburgh, PA
294, Independent Catalyst, 1114%, $5.2 million, IT Services, 1, Wexford, PA
295, Box, 1107%, $10.7 million, Software, 125, Palo Alto, CA
296, Desert Jet, 1102%, $2.1 million, Logistics & Transportation, 10, Thermal, CA
297, Network Solutions Provider, 1102%, $2.6 million, Telecommunications, 21, El segundo, CA
298, Linode, 1097%, $10.7 million, IT Services, 19, Galloway, NJ
299, BackJoy Orthotics, 1092%, $8.8 million, Consumer Products & Services, 1, Valencia, CA
300, GlobalMedia Group, 1087%, $11.6 million, Health, 45, Scottsdale, AZ
301, Davis Strategic Innovations, 1086%, $3 million, Government Services, 15, Huntsville, AL
302, Optimum Outsourcing, 1085%, $4.7 million, Human Resources, 10, newport beach, CA
303, Integrated Media Technologies, 1083%, $25.7 million, IT Services, 27, North Hollywood, CA
304, ISHPI, 1081%, $5.6 million, Government Services, 65, Mount Pleasant, SC
305, Access Media 3, 1069%, $11.1 million, Telecommunications, 75, Oak Brook, IL
306, Emergent, 1063%, $28.4 million, Government Services, 36, Vienna, VA
307, UnitedLex, 1060%, $28.2 million, Business Products & Services, 650, Overland Park, KS
308, Argent Associates, 1060%, $106.9 million, Logistics & Transportation, 52, Edison, NJ
309, Lendio, 1059%, $8.6 million, Financial Services, 45, South Jordan, UT
310, Ingenium Professional Services, 1056%, $4 million, Government Services, 28, Knoxville, TN
311, LeanDog, 1055%, $2.5 million, Software, 15, Cleveland, OH
312, Vigilant Technologies, 1054%, $3.5 million, IT Services, 55, Troy, MI
313, Neutron Interactive, 1050%, $15 million, Advertising & Marketing, 35, Salt Lake City, UT
314, 110 Consulting, 1045%, $7.1 million, IT Services, 70, Bellevue, WA
315, SevOne, 1043%, $8.9 million, Software, 60, Wilmington, DE
316, Wound Care Advantage, 1041%, $6.2 million, Health, 25, Sierra Madre, CA
317, NorAm International Partners, 1040%, $50.6 million, Business Products & Services, 220, Hudson, NH
318, Erickson Builders, 1038%, $3 million, Construction, 9, Rogers, MN
319, blip.tv, 1038%, $5.9 million, Media, 37, New York, NY
320, The Wine Bunker, 1034%, $4.4 million, Food & Beverage, 5, Woburn, MA
321, The Ticket Experience, 1029%, $3.3 million, Retail, 5, Houston, TX
322, H2 Performance Consulting, 1025%, $2.7 million, Government Services, 22, Pensacola, FL
323, Vivax Pro Painting, 1025%, $5.2 million, Construction, 25, Littleton, CO
324, CleanScapes, 1023%, $47.3 million, Environmental Services, 260, Seattle, WA
325, Spring Creek Group, 1022%, $4.3 million, Advertising & Marketing, 35, Seattle, WA
326, MyGreenBuildings, 1016%, $4 million, Construction, 10, Sarasota, FL
327, Praemittias Group, 1012%, $25.6 million, Government Services, 130, Highlands Ranch, CO
328, A10 Clinical Solutions, 1011%, $19.7 million, Health, 260, Cary, NC
329, Excet, 1010%, $38 million, Government Services, 44, Springfield, VA
330, QuadGen Wireless Solutions, 1006%, $11.1 million, Telecommunications, 150, King of Prussia, PA
331, Cantaloupe Systems, 1001%, $7.8 million, Business Products & Services, 35, San Francisco, CA
332, Bach to Rock, 1000%, $3.3 million, Education, 129, Bethesda, MD
333, CSI, 996%, $24 million, Government Services, 228, Oklahoma City, OK
334, Kinnser Software, 992%, $7.3 million, Health, 41, Austin, TX
335, Intridea, 988%, $5.9 million, Software, 34, Washington, DC
336, Hooah, 988%, $6 million, Advertising & Marketing, 18, Winter Park, FL
337, The Menkiti Group, 988%, $5.2 million, Real Estate, 11, Washington, DC
338, MRops, 984%, $18.3 million, Advertising & Marketing, 105, Doylestown, PA
339, Rightpoint, 981%, $5.3 million, IT Services, 50, Chicago, IL
340, Trinisys, 976%, $2.6 million, Software, 16, Brentwood, TN
341, Vinculums, 976%, $51.9 million, Telecommunications, 342, Irvine, CA
342, Tiempo Development, 975%, $3.2 million, Software, 125, Tempe, AZ
343, Potomac Fusion, 974%, $21.1 million, Government Services, 140, Chantilly, VA
344, PayLease, 974%, $4.8 million, Financial Services, 15, San Diego, CA
345, Flat Branch Home Loans, 974%, $4.1 million, Financial Services, 35, Columbia, MO
346, Kavoo, 969%, $2 million, Logistics & Transportation, 13, Danbury, CT
347, America's Mortgage Professionals, 968%, $4.4 million, Financial Services, 68, Ft. Lauderdale, FL
348, Vintage IT Services, 967%, $18.2 million, IT Services, 16, Austin, TX
349, M2 Displays, 965%, $4.2 million, Business Products & Services, 12, Santa Fe Springs, CA
350, Litchney Law Firm, 964%, $2.1 million, Consumer Products & Services, 25, Folsom, CA
351, Third Law Sourcing, 963%, $4.5 million, Business Products & Services, 14, Duluth, GA
352, Jobfox, 963%, $12.9 million, Human Resources, 38, McLean, VA
353, M Force Staffing, 961%, $4.3 million, Human Resources, 13, Knoxville, TN
