Rank,Company Name,3-Year % Growth,Revenue,Industry,# of Employees,City,State
70, ELECTRONIC PAYMENTS, 1953%, $17.6 million, Financial Services, 25, CALVERTON, NY
71, SmartPrice Sales, 1952%, $7.8 million, Food & Beverage, 5, Northbrook, IL
72, SolutionSet, 1932%, $17.8 million, IT Services, 101, Palo Alto, CA
73, Adlucent, 1908%, $6.5 million, Advertising & Marketing, 20, Austin, TX
74, US Media Consulting, 1899%, $10.5 million, Advertising & Marketing, 20, Miami, FL
75, Simply Canvas, 1896%, $4.4 million, Business Products & Services, 55, Akron, OH
76, 2Pi Solutions, 1895%, $9.8 million, Government Services, 35, Washington, DC
77, TAPE, 1891%, $16.6 million, Government Services, 57, Kingstowne, VA
78, High Street Partners, 1873%, $10.5 million, Business Products & Services, 48, Annapolis, MD
79, Remedy Roofing, 1872%, $17.1 million, Construction, 12, Katy, TX
80, Ntiva, 1868%, $6.2 million, IT Services, 40, McLean, VA
81, Flipswap, 1840%, $11.3 million, Consumer Products & Services, 54, Torrance, CA
83, NWN, 1800%, $153.9 million, IT Services, 317, Waltham, MA
84, Connexion Technologies, 1785%, $12.4 million, Telecommunications, 438, Cary, NC
85, ClinAssure, 1743%, $5 million, Health, 17, Irvine, CA
86, Summit Tech Consulting, 1741%, $4.6 million, Health, 43, Atlanta, GA
87, Prep Sportswear, 1728%, $5.4 million, Consumer Products & Services, 32, Seattle, WA
88, Pangea3, 1718%, $8.1 million, Business Products & Services, 301, New York, NY
89, AtLast Fulfillment, 1709%, $24.1 million, Logistics & Transportation, 200, Aurora, CO
90, Charles F. Day & Associates, 1678%, $8.6 million, Government Services, 85, Davenport, IA
91, CSI, 1673%, $6.4 million, Government Services, 129, Oklahoma City, OK
92, American Correctional Solutions, 1659%, $15.6 million, Health, 100, Orange, CA
93, Instant Tax Service, 1658%, $27.2 million, Financial Services, 73, Dayton, OH
94, TSS-Radio, 1651%, $4.5 million, Retail, 12, Chicago, IL
96, TeraThink, 1611%, $6.9 million, Government Services, 25, Reston, VA
97, Robinson Radio, 1610%, $10.2 million, Advertising & Marketing, 21, Glen Allen, VA
98, Celergo, 1581%, $8.6 million, Business Products & Services, 58, Deerfield, IL
99, Bug Music, 1564%, $77.3 million, Media, 81, Los Angeles, CA
100, KBW Financial Staffing and Recruiting, 1546%, $4.3 million, Human Resources, 13, Bedford, NH
101, Nexcelom Bioscience, 1522%, $4.7 million, Health, 24, Lawrence, MA
102, C&I Engineering, 1513%, $13.6 million, Engineering, 5, Richland, WA
103, Zeon Solutions, 1506%, $4.5 million, IT Services, 19, Milwaukee, WI
104, Market Tech, 1497%, $5.2 million, Manufacturing, 5, Scotts Valley, CA
105, Technatomy, 1491%, $7 million, Government Services, 32, Fairfax, VA
106, FireFold, 1491%, $7.6 million, Retail, 42, Concord, NC
107, Conferencing Advisors, 1481%, $9.9 million, Business Products & Services, 20, Capistrano Beach, CA
108, WBS Connect, 1476%, $26.6 million, IT Services, 41, Denver, CO
109, Dicom Solutions, 1474%, $4.3 million, Health, 7, Irvine, CA
110, oDesk, 1470%, $33.6 million, Human Resources, 22, Redwood City, CA
111, Goodwives Hors d'oeuvres, 1464%, $9.9 million, Food & Beverage, 186, Wilmington, MA
112, National Positions, 1456%, $4.1 million, Advertising & Marketing, 240, Agoura Hills, CA
113, BlackLine Systems, 1453%, $5 million, Software, 29, Los Angeles, CA
114, MacUpdate, 1443%, $3.7 million, Software, 6, Traverse City, MI
115, BabyEarth, 1440%, $5.7 million, Retail, 15, Round rock, TX
116, Rockett Interactive, 1430%, $5.9 million, Advertising & Marketing, 8, Cary, NC
117, eCardio, 1425%, $21.4 million, Health, 287, Houston, TX
118, Latshaw Drilling & Exploration, 1419%, $81.5 million, Energy, 305, Tulsa, OK
119, Centro, 1419%, $82.2 million, Advertising & Marketing, 112, Chicago, IL
120, Improving Enterprises, 1417%, $6.2 million, IT Services, 52, Addison, TX
121, Solvern Innovations, 1415%, $12.8 million, Government Services, 121, Baltimore, MD
122, BOSH Global Services, 1415%, $12.4 million, Government Services, 107, Newport News, VA
123, Atlas Properties, 1413%, $5.8 million, Real Estate, 11, Fort Worth, TX
124, TAG Employer Services, 1396%, $19.7 million, Human Resources, 43, Phoenix, AZ
125, CJ Environmental, 1395%, $4.9 million, Consumer Products & Services, 25, Sharon, MA
126, Triplefin, 1383%, $93.9 million, Business Products & Services, 138, Cincinnati, OH
127, Headspring Systems, 1366%, $3.5 million, IT Services, 28, Austin, TX
128, ERT, 1355%, $41.6 million, Government Services, 350, Annapolis Junction, MD
129, Affiliate Media, 1354%, $7.7 million, Advertising & Marketing, 25, Irvine, CA
130, GlowTouch Technologies, 1350%, $6.9 million, IT Services, 800, Louisville, KY
131, Sensor Technologies, 1348%, $182.2 million, Government Services, 196, Red Bank, NJ
132, Heritage Makers, 1343%, $8.5 million, Consumer Products & Services, 35, Provo, UT
133, Genesis Today, 1314%, $22.8 million, Health, 66, Austin, TX
134, Vizio, 1313%, $2 billion, Consumer Products & Services, 118, Irvine, CA
135, Clear Align, 1305%, $5.5 million, Government Services, 52, Eagleville, PA
136, Property Solutions International, 1296%, $3.3 million, Real Estate, 34, Provo, UT
137, Glispa, 1295%, $30.7 million, Advertising & Marketing, 15, St. Paul, MN
138, VitalWear, 1285%, $7.7 million, Health, 28, South San Francisco, CA
139, XCEND Group, 1266%, $5.3 million, IT Services, 22, Brighton, MI
140, U.S. Energy Development, 1260%, $56.4 million, Energy, 73, Getzville, NY
141, SingleSource Property Solutions, 1253%, $42.2 million, Real Estate, 128, Canonsburg, PA
142, Academix Direct, 1242%, $7.6 million, Advertising & Marketing, 35, Mountain View, CA
143, Zumasys, 1234%, $11.7 million, IT Services, 26, Irvine, CA
144, Syndero, 1222%, $42.5 million, Retail, 73, San Francisco, CA
145, Loeffler Randall, 1221%, $10.3 million, Consumer Products & Services, 13, New York, NY
146, G5, 1209%, $3.4 million, Advertising & Marketing, 34, Bend, OR
147, Remote Medical International, 1207%, $2.9 million, Health, 54, Seattle, WA
148, Pallet Central Enterprises, 1203%, $12.8 million, Business Products & Services, 8, Atlanta, GA
149, The Glenture Group, 1201%, $9.5 million, IT Services, 80, Northbrook, IL
150, AB Star Group, 1199%, $4.6 million, IT Services, 40, Newark, CA
151, Golden Key Group, 1195%, $5.6 million, Government Services, 72, Centreville, VA
152, Capital City Technologies, 1191%, $21.9 million, Government Services, 58, Suwanee, GA
153, Reuseit, 1190%, $6.2 million, Retail, 9, Chicago, IL
154, CPX Interactive, 1188%, $58.6 million, Advertising & Marketing, 90, Westbury, NY
155, World Pac Paper, 1182%, $25.5 million, Business Products & Services, 15, Cincinnati, OH
156, College Hunks Hauling Junk, 1179%, $2.9 million, Logistics & Transportation, 75, Tampa, FL
157, Global Wedge, 1175%, $14.4 million, Energy, 4, Riverside, CA
158, SendOutCards, 1173%, $32.9 million, Consumer Products & Services, 71, Salt Lake City, UT
159, OraMetrix, 1171%, $16.6 million, Health, 133, Richardson, TX
160, BlueStar Energy Solutions, 1170%, $193.3 million, Energy, 87, Chicago, IL
161, Payscape Advisors, 1162%, $2.3 million, Financial Services, 80, Atlanta, GA
162, TowerCo, 1156%, $33.3 million, Telecommunications, 48, Cary, NC
163, Campus Habitat, 1152%, $5.7 million, Real Estate, 73, New York, NY
164, Summa Technologies 2, 1148%, $25.6 million, IT Services, 46, Pittsburgh, PA
165, Angel Staffing, 1138%, $23 million, Health, 695, San Antonio, TX
166, Mediaspectrum, 1133%, $14.6 million, Software, 80, Burlington, MA
167, EVO2, 1129%, $2.5 million, Retail, 27, San Mateo, CA
168, Smiley Media, 1126%, $31.4 million, Advertising & Marketing, 24, Austin, TX
169, The Neat Company, 1121%, $29.1 million, Consumer Products & Services, 160, Philadelphia, PA
170, Visible Technologies, 1121%, $6.6 million, Software, 80, Bellevue, WA
171, Future Ads, 1115%, $15.2 million, Advertising & Marketing, 36, Irvine, CA
172, Florence Electric/Kaydon IT, 1113%, $32.4 million, Construction, 150, Taunton, MA
173, GeBBS Healthcare Solutions, 1110%, $5.4 million, Health, 750, Englewood Cliffs, NJ
174, PriceSpective, 1110%, $9.5 million, Health, 42, Blue Bell, PA
175, GlobalTranz, 1105%, $25.4 million, Logistics & Transportation, 70, Phoenix, AZ
176, MicroTech, 1103%, $39 million, Government Services, 283, Vienna, VA
177, Senior Whole Health, 1100%, $207.7 million, Health, 184, Cambridge, MA
178, AtTask, 1097%, $15.5 million, Software, 133, Orem, UT
179, Troon Construction, 1096%, $26.7 million, Construction, 11, Mesa, AZ
180, GuardianEdge, 1073%, $27 million, Security, 90, San Francisco, CA
181, Logik, 1067%, $4.4 million, Business Products & Services, 8, Washington, DC
182, Catapult Consultants, 1063%, $4.8 million, Government Services, 51, Arlington, VA
182, Spectraforce Technologies, 1005%, $12.7 million, IT Services, 62, Raleigh, NC
183, The Chip, 1060%, $2.4 million, IT Services, 24, Santa Clarita, CA
184, Hyper Interactive Media, 1058%, $41.3 million, Advertising & Marketing, 47, Draper, UT
185, Walz Group, 1057%, $15.8 million, Software, 68, Temecula, CA
186, Code Shred, 1056%, $2.8 million, Business Products & Services, 22, Valley Stream, NY
187, cPrime, 1053%, $4 million, IT Services, 32, Foster City, CA
188, Torrey Hills Technologies, 1052%, $2.6 million, Manufacturing, 7, San Diego, CA
189, iContact, 1049%, $15.1 million, Advertising & Marketing, 152, Morrisville, NC
190, Nova USA Wood Products, 1041%, $25.2 million, Manufacturing, 16, Portland, OR
191, DMS International, 1026%, $10.4 million, IT Services, 150, Silver Spring, MD
192, Realty ONE Group, 1024%, $1.1 billion, Real Estate, 32, Henderson, NV
193, Milestone Metals, 1024%, $36.2 million, Manufacturing, 15, Fairfax, VA
194, Ignify, 1023%, $8.8 million, Software, 220, Long Beach, CA
195, Generational Equity, 1023%, $40.9 million, Business Products & Services, 232, Dallas, TX
196, See Kai Run, 1021%, $4.5 million, Consumer Products & Services, 10, Woodinville, WA
197, Monoprice, 1016%, $39.7 million, Retail, 68, Rancho Cucamonga, CA
198, Stream Energy, 1014%, $825.6 million, Energy, 313, Dallas, TX
199, eMason, 1010%, $3.8 million, Software, 27, Clearwater, FL
200, JSymmetric, 1009%, $2.3 million, IT Services, 20, Atlanta, GA
201, TechCFO, 1007%, $4.1 million, Financial Services, 23, Atlanta, GA
202, Kimball Concepts, 1005%, $7.6 million, Consumer Products & Services, 8, Chandler, AZ
203, U.S. Gas & Electric, 1004%, $105.9 million, Energy, 84, North Miami Beach, FL
204, The Groop, 1000%, $4.2 million, Advertising & Marketing, 15, Los Angeles, CA
205, Alteris Renewables, 999%, $35.6 million, Energy, 103, Wilton, CT
206, Snack Factory, 997%, $55.5 million, Food & Beverage, 16, Skillman, NJ
207, Ingenious, 995%, $4.7 million, Software, 60, Houston, TX
208, Interbank FX, 988%, $62.8 million, Financial Services, 170, Salt Lake City, UT
209, Environmental Design & Construction, 967%, $33.1 million, Construction, 35, Washington, DC
210, FriendFinder Networks, 966%, $331 million, Media, 427, Boca Raton, FL
211, ACI Estate, 964%, $13.4 million, Insurance, 325, Doylestown, PA
212, Quantum Retail, 963%, $4.5 million, Software, 29, Minneapolis, MN
213, EGB Systems & Solutions, 962%, $2.1 million, IT Services, 16, Stamford, CT
214, Texas Physical Therapy Specialists, 958%, $3.6 million, Health, 75, Schertz, TX
215, MBS Dev, 955%, $10.2 million, IT Services, 30, Englewood, CO
216, Lurn, 951%, $2.5 million, Education, 11, Gaithersburg, MD
217, BrightStar Care, 945%, $24.4 million, Health, 39, Gurnee, IL
218, Sand Creek Post, 943%, $3.4 million, Consumer Products & Services, 23, Wayne, NE
219, Total Attorneys, 938%, $23.9 million, Business Products & Services, 178, Chicago, IL
220, Demandforce, 936%, $2.5 million, Software, 28, San Francisco, CA
221, Cities2Night.com, 935%, $3.3 million, Media, 26, Philadelphia, PA
222, Knowland Group, 934%, $3.7 million, Software, 25, Lewes, DE
223, Audigy Group, 933%, $6.1 million, Health, 38, Vancouver, WA
224, Carchex, 933%, $9 million, Consumer Products & Services, 53, Hunt Valley, MD
225, Celestar, 932%, $8.3 million, Government Services, 68, Tampa, FL
226, Plus1 Marketing, 929%, $3.2 million, Advertising & Marketing, 9, Columbia, MO
227, United States Construction, 927%, $2.4 million, Construction, 4, Pompano Beach, FL
228, Jobs2web, 925%, $3.4 million, Software, 35, Minnetonka, MN
229, Strategic Systems, 924%, $12.3 million, IT Services, 120, DUBLIN, OH
230, MensRedTag.com, 922%, $2.7 million, Retail, 2, Joliet, IL
231, Cyrus Innovation, 920%, $3.5 million, Software, 26, new york, NY
232, Dirt Pros EVS, 918%, $2.6 million, Environmental Services, 310, Plantation, FL
233, Covario, 918%, $12.7 million, Advertising & Marketing, 101, San Diego, CA
234, Pandigital, 917%, $157 million, Consumer Products & Services, 60, Dublin, CA
235, Diplomat Specialty Pharmacy, 917%, $270.7 million, Health, 275, Flint, MI
236, The Analysis Group, 915%, $52.2 million, Government Services, 65, Falls Church, VA
237, Johnny Cupcakes, 914%, $3 million, Retail, 27, Weymouth, MA
238, eIQnetworks, 904%, $7.8 million, Security, 103, Acton, MA
239, HostGator.com, 896%, $34.2 million, Business Products & Services, 185, Houston, TX
240, Logical Innovations, 894%, $7.5 million, Business Products & Services, 20, Richmond, VA
241, Ocenture, 894%, $13.6 million, Business Products & Services, 25, Jacksonville, FL
242, Hillard Heintze, 892%, $4 million, Security, 30, Chicago, IL
243, BargainLocks, 892%, $6 million, Security, 8, North Canton, OH
244, ePsolutions, 890%, $2.8 million, Software, 26, Austin, TX
245, NetSteps, 890%, $2.8 million, Software, 18, Pleasant Grove, UT
246, American Bancard, 888%, $10.2 million, Financial Services, 40, Boca Raton, FL
247, Source Technologies, 885%, $2 million, Energy, 14, Albuquerque, NM
248, Volusion, 885%, $15.8 million, Software, 80, Austin, TX
249, 2Is, 884%, $5.3 million, Government Services, 14, Walpole, MA
250, USfalcon, 881%, $93.7 million, Government Services, 180, Morrisville, NC
251, Thrustmaster of Texas, 880%, $60.8 million, Manufacturing, 144, Houston, TX
252, Big Fish Games, 880%, $84.1 million, Media, 342, Seattle, WA
253, US Aluminum Services, 878%, $2 million, Construction, 8, Orlando, FL
254, Cali Bamboo, 877%, $7.2 million, Consumer Products & Services, 22, San Diego, CA
255, APN Consulting, 873%, $8.3 million, IT Services, 20, Princeton, NJ
256, Britstan Technology, 873%, $6.5 million, IT Services, 40, Brea, CA
257, MindSmack.com, 869%, $2.6 million, Media, 34, New York, NY
258, Metal Mafia, 867%, $3.5 million, Consumer Products & Services, 8, New York, NY
259, GATR Technologies, 866%, $3 million, Telecommunications, 12, Huntsville, AL
260, The Winvale Group, 866%, $8.2 million, Government Services, 18, Washington, DC
261, Media Two Interactive, 866%, $13.2 million, Advertising & Marketing, 15, Clayton, NC
262, ChemSol, 863%, $38.3 million, Manufacturing, 13, Minnetonka, MN
263, Ali International, 862%, $3.8 million, Media, 8, Los Angeles, CA
264, Charlesson, 858%, $2 million, Health, 20, Oklahoma City, OK
265, SkyMira, 855%, $2.9 million, Telecommunications, 10, Milford, CT
266, Carahsoft Technology, 854%, $347.5 million, Government Services, 125, Reston, VA
267, Children's Progress, 854%, $2.1 million, Education, 17, New York, NY
268, Outskirts Press, 851%, $4.6 million, Consumer Products & Services, 3, Parker, CO
269, MediGain, 844%, $2.4 million, Health, 165, Dallas, TX
270, Eco-Products, 844%, $34.5 million, Manufacturing, 60, Boulder, CO
271, Extrakare, 835%, $4.6 million, Health, 25, Norcross, GA
272, SkyBox-USA, 833%, $5.4 million, Retail, 11, Juno Beach, FL
273, Bills.com, 833%, $74.9 million, Financial Services, 503, San Mateo, CA
274, 5Linx Enterprises, 832%, $45.7 million, Telecommunications, 162, Rochester, NY
275, Smarsh, 831%, $8 million, IT Services, 50, Portland, OR
276, OnTimeSupplies.com, 830%, $2.3 million, Business Products & Services, 7, Atlanta, GA
277, Search Wizards, 827%, $13.8 million, Human Resources, 6, Atlanta, GA
278, U.S. Tax Advantage, 822%, $4.3 million, Financial Services, 13, Evanston, IL
279, Kingfisher Systems, 822%, $6.3 million, Government Services, 45, Falls Church, VA
280, Accelera Solutions, 821%, $18.9 million, IT Services, 35, Fairfax, VA
281, Strike, 821%, $114.2 million, Energy, 729, Spring, TX
282, SoDel Concepts, 821%, $7 million, Food & Beverage, 157, Bethany Beach, DE
283, C.L. Carson, 820%, $16.1 million, Construction, 65, Austin, TX
284, Reveal Imaging Technologies, 818%, $47.9 million, Security, 103, Bedford, MA
285, Anytime Fitness, 816%, $26.7 million, Health, 70, Hastings, MN
286, Custom Tree Care, 809%, $2 million, Construction, 16, Topeka, KS
287, Corporate Brokers, 806%, $7.6 million, Human Resources, 13, Annapolis, MD
288, TerraCycle, 803%, $4.2 million, Consumer Products & Services, 50, Trenton, NJ
289, Rally Software, 802%, $10.6 million, Software, 150, Boulder, CO
290, Winshuttle, 801%, $8.7 million, Software, 70, Bothell, WA
291, The Paquin Healthcare Companies, 800%, $2.9 million, Health, 28, Celebration, FL
292, Canyon Construction, 799%, $7 million, Construction, 15, Frederick, MD
293, Best Practice Systems, 798%, $3.8 million, Business Products & Services, 34, Englewood, CO
294, Data Processing Services, 797%, $6.5 million, Construction, 11, Suwanee, GA
295, Dynalabs, 795%, $2.5 million, Health, 15, St. Louis, MO
296, Simplion Technologies, 794%, $3.9 million, IT Services, 32, Milpitas, CA
297, Rapid7, 794%, $8.6 million, Security, 90, Boston, MA
298, GENBAND, 792%, $144.2 million, Telecommunications, 475, Frisco, TX
299, MIR3, 792%, $11.8 million, Software, 80, San Diego, CA
300, Alatec, 790%, $10.6 million, Government Services, 57, Huntsville, AL
301, BoxTone, 790%, $5.3 million, Software, 42, Columbia, MD
302, EMS, 785%, $202.9 million, Energy, 2200, Houston, TX
303, Array Information Technology, 781%, $19.4 million, IT Services, 100, Greenbelt, MD
304, Cowan & Associates, 781%, $2.7 million, Government Services, 25, Arlington, VA
305, Power Home Technologies, 781%, $9.6 million, Security, 140, RALEIGH, NC
306, PowerON Services, 779%, $8.1 million, Computer Hardware, 26, Roseville, CA
307, Access Technology Solutions, 778%, $20.2 million, Logistics & Transportation, 41, Provo, UT
308, Health Diagnostics, 776%, $66.9 million, Health, 600, Melville, NY
309, WaterFilters.NET, 774%, $3.7 million, Retail, 11, Zumbrota, MN
310, Systems Made Simple, 772%, $17.2 million, IT Services, 56, Syracuse, NY
311, Campbellsport Building Supply, 768%, $10.4 million, Retail, 25, Campbellsport, WI
312, Forward Edge, 766%, $5.7 million, IT Services, 15, Cincinnati, OH
313, Premier Integrity Solutions, 766%, $5.9 million, Security, 176, Russell Springs, KY
314, Lead Flash, 763%, $49.9 million, Advertising & Marketing, 45, Boca Raton, FL
315, EscapeWire Solutions, 763%, $2.7 million, IT Services, 5, Buffalo, NY
316, Rapid Air Systems, 762%, $3.5 million, Manufacturing, 6, Milwaukee, WI
317, Pop Labs, 761%, $5.6 million, Advertising & Marketing, 47, Houston, TX
318, Timeshare Relief, 758%, $30.4 million, Consumer Products & Services, 122, Torrance, CA
319, Findaway World, 755%, $17.2 million, Consumer Products & Services, 96, Solon, OH
320, IMM Interactive, 755%, $56.9 million, Advertising & Marketing, 40, Woodbury, NY
321, Borrego Solar Systems, 754%, $58.9 million, Energy, 128, San Diego, CA
322, Geo-Solutions, 753%, $29.5 million, Environmental Services, 20, New Kensington, PA
323, Impact Group, 752%, $49 million, Business Products & Services, 150, SAINT LOUIS, MO
324, Utility Integration Solutions, 744%, $9.2 million, Energy, 25, Lafayette, CA
325, Morgan Borszcz Consulting, 741%, $8.6 million, Government Services, 58, Arlington, VA
326, Portfolio Creative, 741%, $4.7 million, Human Resources, 5, Columbus, OH
327, MindFire, 739%, $3.5 million, Software, 30, Irvine, CA
328, Millennium Pharmacy Systems, 738%, $97.7 million, Health, 272, Oak Brook, IL
329, Devcon Group, 736%, $4.2 million, Construction, 12, Monument, CO
330, Angarai International, 735%, $2.9 million, Business Products & Services, 17, Greenbelt, MD
331, Softek International, 735%, $13.8 million, IT Services, 55, Edison, NJ
332, Dogswell, 733%, $15.9 million, Consumer Products & Services, 38, Los Angeles, CA
333, ESC Select, 730%, $23.6 million, Human Resources, 4, Amherst, NY
334, Bluefish Wireless Management, 727%, $12.6 million, Telecommunications, 80, Indianapolis, IN
335, Simplex Healthcare, 727%, $56.7 million, Health, 166, Franklin, TN
336, Aasent Mortgage Corporation, 727%, $2.6 million, Financial Services, 54, Atlanta, GA
337, Nitel, 727%, $25.7 million, Telecommunications, 43, Chicago, IL
338, Investor Relations International, 724%, $7.8 million, Business Products & Services, 22, Sherman Oaks, CA
339, Squarespace, 723%, $2.2 million, Software, 8, New York, NY
340, Show Media, 723%, $5.1 million, Advertising & Marketing, 28, New York, NY
341, U.S. Energy Services, 722%, $439 million, Energy, 64, Plymouth, MN
342, Fringe Media, 721%, $16.8 million, Retail, 69, Salt Lake City, UT
343, Pfister Energy, 721%, $4 million, Energy, 18, Hawthorne, NJ
344, BriMar Wood Innovations, 719%, $2.4 million, Consumer Products & Services, 24, Goshen, IN
345, FTRANS Corp., 718%, $2.5 million, Financial Services, 36, Atlanta, GA
346, iCrossing, 715%, $117.9 million, Advertising & Marketing, 620, Scottsdale, AZ
347, VST Consulting, 713%, $4.9 million, Software, 75, Iselin, NJ
348, Zebra Imaging, 713%, $17 million, Business Products & Services, 48, Austin, TX
349, Gold Star Mortgage Financial Group, 713%, $11.1 million, Financial Services, 248, Ann Arbor, MI
350, Innovative Analytics, 710%, $3.1 million, Health, 28, Kalamazoo, MI
351, Calnet, 705%, $83.7 million, Government Services, 650, Reston, VA
352, Secure-24, 704%, $12.2 million, IT Services, 82, Southfield, MI
353, Mystikal Solutions, 698%, $3.9 million, IT Services, 56, San Antonio, TX
354, Red Bricks Media, 698%, $6.6 million, Advertising & Marketing, 65, San Francisco, CA
355, LesserEvil Brand Snack, 697%, $3.4 million, Food & Beverage, 9, Village of Tuckahoe, NY
356, FURminator, 695%, $33.5 million, Consumer Products & Services, 26, Fenton, MO
357, Spine & Sport, 694%, $2.3 million, Health, 70, Rincon, GA
358, Sittercity, 693%, $4.6 million, Consumer Products & Services, 29, Chicago, IL
359, Enrich IT, 692%, $12.8 million, IT Services, 138, Alpharetta, GA
